"","x"
"11","Fake cloned phone. DO NOT BUY U'LL be wasting your time and money. Buy directly from Samsung. Please double check if you have a cloned phone or not. This is very deceptive
            "
"12","The heart rate monitor not working , there is no rubber seal protecting the sim and micr sd card from water , poor display quality , poor camera , everything is just a big NO. This is the first time I have ever experience this problem with amazon , and this is making me want to stop purchasing from amazon. I love amazon , but , if this is what they're doing to their loyal customers , I will not stand for it , but , I hope this was just a mistake that was made and not a scheme.
            "
"13","I switched to the s9 after I saw the price of the iPhoneX. I am not disappointed with switching to Samsung, this phone has a much better display and camera than the iPhones do. The pictures in the dark are phenomenal. It was easy to transfer all the data from my iPhone because of the easy set up features. If your thinking about switching from the iPhone, do it, you will not be disappointed.
            "
"14","Pros: Overall great phone-Camera has high resolution and is ok for lower light photography due to dual apertures-Great listening experience with dual speakers for stereo sound-One of the best displays on a smartphone, OLED-Wireless charging-A headphone jack-Beautiful form factor with the display curving over the sidesCon: Possibly incompatible with cellular carrier (CHECK MODEL NUMBER)-For those NOT living in the UK, the listed model number is unlocked for the UK.The description does not explicitly list the compatible region for the listed model. I live in the US, but the model I received was SM-G960F/DS, which is an unlocked version with dual sim for the UK. This model is not compatible with Verizon, Sprint, and possibly other US cellular carriers.
            "
"15","Was not given the actual phone. Only a display model with no hardware, screen, camera, etc.
            "
"16","Deffective and you get charged 15 per cent restocking fees and you pay for return shipping.Not worth it
            "
"17","After opening the shipping box I found a wrong item inside. Instead of a Galaxy S9, there was a Galaxy S9+ box sealed with shipping tape on both ends. I opened the box and found no phone inside, only some chains, yes chains, wrapped on a napkin, a Samsung charger, a couple of generic chargers and some other small accessories.I reported the incident to Amazon but they were unable to help me, unless a police report was filed.
            "
"18","Very nice upgrade from s7. I'm glad I went with the s9+ . I really like the big screen, and extra camera.
            "
"19","<U+00A0>After doing about a month of research for what I want a phone to do and how much battery life and other features inside a phone it beats all the other phones I've had out of the water.  Granted I've only have phones 2013 or older this is like a night and day difference for my experience with phones.Pros - Sound quality out of the speakers is phenomal with highs not being too tiny and the bass not being too overbearing. - Picture quality set to the max QWHD+ is a glorious thing - Camera us stronger than a Canon G7X that i recently purchased only downside being the zoom function makes it rather quick to get blurry.  - Beautiful slo-mo option for video capture  - Selfie camera is amazing as well with the filter options to clear up a face and also has a wide selfie option for large groups of people  - Video recording is phenomenal with tracking and motion capturing - Lightning fast loads on apps and web pages when my connection is strong. - Fingerprint open on the back of phone conveniently placed - Iris Scanning - Plenty of battery life for a full days use of gps tracking and music playing - Samsung Pay option for paying for items without needing to pull out a cardCons - Camera zoom function isn't doing much good for picture quality but I understand it is in a small handheld device - Price tag as always with flagship phones are rather high but paying it out right for me and flipping the phone for newer flag ships in the future doesn't make it all that expensive of a purchase when I go with a resale value in a couple years.All in all I do enjoy this phone and for me I found it this phone to be completely worth it as just through the experience I've had with the pictures and battery life alone.  It has yet to have any hiccups while using the phone and always does what I need it to do.Only con that I have against it would be the price otherwise the phone is a complete stellar buy.
            "
"20","This, most definitely is the best smartphone you can get today. It's so beautiful. I fall in love with it every single day. Add the wireless charger, ear buds, and watch, and you've got yourself an amazing smartphone experience.You do need to get a cover for the glass back though, because it's not as strong as it is proposed to be. Get the Alcantara case from Samsung. Also, stick with apps from the play store, and themes from Samsung ¢â, you'll have a hitch free, glitch free ride..
            "
"21","Arguably the best smartphone that I've ever purchased.  Works great and plenty of great features.  Great camera.I had no real problems switching the SIM card from my old phone to the S9+.So why did I give it only 4 stars?  Well, I find Bixby of little value for me and I accidentally press its button at times.  Also that Facebook is permanently installed (can be ""disabled"").  However according to my router of my WiFi network, there is communications to and from Facebook (unknown which source/app on the phone is the cause).
            "
"22","Phone takes good pictures, too bad it just doesnt want to charge.  Amazon wants to charge me 8 dollars to refund this garbage, and the garbage insurance i purchased wants 90 dollars to replace their shoddy product.Im broke at the moment, and i am currently missing out on a phone interview for a second job because it wont charge. I missed going to the bank because what should have taken 3 seconds to replace a shoddy product sold by one of the wealthiest companies in the world turned into taking an entire afternoon and evening to fixStay away from this garbage phone and company amazon when buying phones, this is the second phone in a row.  Amazon is a scam.
            "
"23","I'm not sure if it was just the phone or if the S9 actually isn't as good as I thought it would be.. I'm thinking it was the phone because I upgraded to the S9 plus and am now absolutely in love with it. I did order this one 1st though and had a lot of trouble with the voice to text. Actually texting was really hard in general too. That made it kind of a bummer to play around on because I use voice command a LOT. I decided to return it and just got my refund.. I am so thankful I was able to get that at least!! That's the only reason I rated at 3 stars instead of only two.
            "
"24","I purchased this phone some months ago and was extremely excited to try it out. It arrived perfectly with all the parts and pieces it was supposed to come with and for the first two months I was completely satisfied with my purchase. I'd also took measures and purchased a heavy duty phone case and a screen protector to make sure this puppy lasted me a while. However, two months in, my phone started unexpectedly freezing and the battery life was starting to decline rapidly. I had only used 18 of the 64 GB available but I took the time to clean out my storage and any unnecessary files anyways in hopes that the phone's behavior would improve. To my surprise, its performance was rapidly declining more and more by the days. Not long after it got to the point where my phone screen would randomly turn itself off and not turn back on. The phone would vibrate like it would when it was on when I'd press the home button but the screen would not light up. It would do this multiple times a day and I would have to manually soft reset it every single time. I reached out to Samsung support and was not able to receive any help or answers from them. By this point my 30-day warranty had already expired and Amazon would no longer be able to exchange the phone for me. I wish I had just spent a few dollars extra to make sure that I had received a reliable phone. Very unsatisfied
            "
"25","Just ordered this device to replace an older S7 Edge whose battery expanded on me and took the back of the phone out with it as it expanded - that phone was only three years old but well beyond its warranty.I hope the battery on the S9 won't go the way the S7 did.Enabling the S9 on the Verizon network only involved swapping the SIM card between devices.  It confused me a bit because it was my understanding I would have to register the devices exchange on the Verizon website.  It happened automatically after installing the old SIM card in the new phone.The device came with Android Oreo from February 2018 installed - needed a couple of patch updates.  It also came charged 96%.The S9 has a smaller screen, it's a bit lighter and much more responsive  than the S7 Edge.  It could also be that it's new so Android isn't as bloated, although it has all my data and apps moved over.  Transferring data and settings was a snap - used the Samsung utility and USB cable adapter to do this.Good experience so far to get going, if something happens, I'll be back here to amend this review.  Excellent experience so far with both the phone and Amazon's handling of it.
            "
"26","A really good phone, neat features.The speaker is not working after about two weeks.
            "
"27","Took the phone to the Verizon store and was told that it was incompatible with their network. Don't waste your time with this if you have Verizon.
            "
"28","The battery life was shorter than a new phone. The phone itself was fine but the description was misleading as #1 the ""US Warranty"" stated in the title is void when reselling a used phone. It also states, ""Accessories may have cosmetic damage"" this was false as well because the original items were completely replaced by generic headphones and power cord. You will not receive what was promised unless you buy a new phone, which I had to do. I had to return this item, and am still waiting for my refund.
            "
"29","I bought this phone because it could be used with CDMA and SIM cards both.  I had planned on using Verizon at home and wanted to be able to purchase SIM cards to use in the phone when I travel internationally.  But this phone appears to be an AT&T phone that is ""unlocked"" so that it can also be used on T-mobile and presumably, other SIM cards.  I have wasted a week's time, tried a couple of different SIM cards from a couple of different carriers, purchased a new SIM card, and am just DONE with this.  Do not believe the Q&A section where it says the phone can be used with all 4 carriers.  It absolutely CANNOT.  I will be returning this.
            "
"30","I upgraded from the Samsung S8 to the Samsung S9+.  I'm happy I decided to get the plus edition of the S9 as it offers a lot of extra features for the value in addition to higher quality components and screen size and resolution. I got the 64gb because the 128gb was out of stock.  But there's an expandable memory bay in the S9+ which allows you to add up to 1TB of storage.Rating: 15/10
            "
"31","My three stars has more to do with Amazon's screw up than the phone itself.WHEN YOU GET YOUR PHONE, CHECK THE MODEL NUMBER !!!SHOULD BE SM-G960U1.I ordered the US unlocked Galaxy S9 (model number SM-G960U1), BUT Amazon sent me a Chinese unlocked phone (model number SM-G9600). Although they look the same, the Chinese phone only sort of works (dropped calls, poor sound quality, incoming calls go straight to voice mail), does NOT have a US warranty (all support comes out of China), and critical features your carrier offers will be disabled (such as T-Mobile's Wifi Calling).It took me over a month to figure out why my wonderful Galaxy S9 was a piece of crap. And neither Amazon nor Samsung were of much help in discovering the source of my problem. It wasn't until I tried to register my phone with Samsung's U.S. website and failed that I got a clue.After much to do, Amazon replaced my Chinese phone with the correct one. Like magic everything appears to be working fine including Wifi Calling.
            "
"32","We purchased 2 of these devices one was still in the wrapping with no issues and the other had been used, was missing the charger and the adapter piece. Both phones worked great but we paid for a new phone and received a used one and were left without a charger and adapter.
            "
"33","Note, when you purchase this product the name beneath the title of the product is the manufacturer name NOT the vendor! Not only was the phone I received different than the one I ordered but they also did not include a charging cable with the product. Don't let them fool you, these phones are NOT new, and they are NOT being sold by Samsung. Do yourself a favor and just go to Best Buy instead.
            "
"34","My S7 Edge LCD screen just died last month so I needed a phone right away. I am currently with Verizon, so it sort of limits my phone choices. This phone works with Verizon, it was cheaper than buying it directly from Verizon, and I didn't have to pay an activation fee since I used my old sim card.In all honesty, I like the looks of the S7 Edge better than this S9. I also miss having a physical button at the bottom of the phone.Passive battery life on the S9 has been amazing so far. My old phone would be almost completely drained by the end of the day if I just checked it every once in a while. With the S9, I was periodically checking my phone once in a while, sending texts, etc., and I still had over 50% by midnight. Some apps do kill the battery life pretty quickly, but the phone will notify you every once in a while when it notices you have apps running in the background.Have not had time to play around with Bixby yet.
            "
"35","this is the best (and most beautiful) phone of 2018, hands down.Pixel 3 xl has a worse processor, less RAM, worse battery, no equalizer, no DeX, no hdmi output, no SD slot, the stupid notch, and is $200 more expensive.iPhone Xs Max has similar performance, no fingerprint sensor, worse battery life, no SD slot, the stupid notch, no DeX, and is $400-600 more expensive.Note 9 is too big for one-handed use, too big for most pockets, has the same processor as this phone, but is $300 more expensive (tho if u use the sPen, that's the best phone for u).seriously, i waited for all the flagship announcements, only to find out that the s9+, announced 6 months ago, is still the best phone of the year, and it's not even close.completely customizable, and just a pleasure to use. the new Samsung software is much better than the old bulk in the days of S3 or even Note3. I'm coming from Pixel XL, and i can vouch for this sw being very lightweight, useful, and snappy.also, the always-on-display is just a pleasure. i don't think I'll want to go back to not having this option. battery life is amazing. I'm very happy with this phone
            "
"36","Due to all the negative comments that previous people wrote regarding receiving boxes with no phones, or phones with scratches or previously used phones I was hesitant to make this purchase but happy to report the following:The Samsung Galaxy S9 unlocked (US Version) 256GB Coral Blue phone arrived in Brand new condition.  Packaging was brand new with seals on packaging and phone also had factory protective clear films front and back. (GM960U1 model)  Also packaged with the phone was the charger, all instructions, card tray key, and headphones.
            "
"37","I Upgraded to the Galaxy S9 from the Galaxy S3. There are many improvements, however a lot was familiar. Used it on the AT&T network. It was easy getting a SIM from them and replacing the S3 on my account.  One note:  AT&T does not call the Galaxy S9 by name on your account device page because you did not buy it from them.  They simply call it a ""device"".  This designation does not cause any issues with billing or anything else on your account. I asked support to change ""device"" to Galaxy S9, but it never went through.  The camera itself has beautiful playback of all forms of media and has a great battery life. I'm not wild about the sidebar tabs to stow all your contacts and apps, I think they get in the way of other things you are doing.  Summary: great phone.
            "
"38","I am so upset right now , just receive this box there is no phone inside this box  .
            "
"39","Awesome phone and love the fact that it's unlocked so no additional junk from your carrier if you would purchased it thru a carrier. I did have an issue about warranty but from the Samsung care + side but was not disclosd when purchasing this phone. All in all Amazon was willing to resolve the matter and gave me other options to purchase warranty. So overall love the phone and Amazon customer service is top notch!!!!!
            "
"40","It's clear now that mine arrived defective. A problem started as intermittent and got worse: people couldn't hear me on speakerphone, and sometimes in handset mode too. I had a long call with tech support 3 months in, which ended in my hard-resetting the phone. The problem seemed to go away but didn't really. Then I dropped the phone getting a functional, and barely visible crack. I eventually confronted the problem again, calling tech support. I mentioned the crack and they said this would not impede repair under warranty. As instructed, I brought it to UfixIbreak, where I was told that a) the drop voided the warranty for all parts b) they would replace the broken part without also doing the screen even though I didn't need it done. So the cost for me was not zero but $340.When my Korean car gets rear-ended, does that automatically void all the warranty on all the engine parts?I am livid and definitely won't buy a Samsung again.
            "
"41","Has the typical OEM bloatware as well as some Google and third-party software that can't be removed. The hardware Bixby button is an obvious attempt at overriding Google assistant.  It's very easy to activate unintentionally.A Samsung account is necessary to use their competing features; even some that don't make sense to need an account.The screen is brilliant and beautiful. The curved edges give it an attractive illusion of depth. Battery life is very good and recharge is very fast.  Samsung has the best swipe and predictive qwerty of all brands I've owned.I'm very happy with my purchase.
            "
"42","I purchased this Amazon warehouse purchase because I could not bring myself to pay full price for todays high end smartphones.  After looking at the product I received it looks and functions as new.  I am deducting two stars because I tried to register the phone for warranty service to find that it couldn't be registered.  So I'm pulling one star for amazon listing it as having a US warranty, and one star from Samsung for not being able to register the product.  I will continue to test the functionality of this phone in the coming week.  Great value for the money if Samsung supports the product as advertised.
            "
"43","This phone was not compatible with Sprint network. We spent half our day at 2 different Sprint stores in an attempt to activate this phone. I also purchased a otterbox case and screen protector which I am losing $15 on becuase seller is charging me for the return.
            "
"44","Several reviews said this unlocked phone would be fine with Boost Mobile.  Took it into a boost store and the lady behind the counter was really nice and she tried and tried and could not get it to work with Boost.  Even though Boost sells this exact same phone.... hmm...  Nice gimmick, boost.  She did say the phone was sprint compatible.  Boost is owned by Sprint and its phones will run on the Sprint network.  So, what gives Boost?
            "
"45","I read all the reviews and decided to go with the Amazon shipped version of this phone to have the Amazon guarantee.  A lot of reviews said this phone would not work on Verizon, and that voicemail and wireless calling was not going to work.  Well, all of these comments were obviously from people who didn't investigate it thoroughly.  My wireless calling works fine, my voicemail works fine and the phone works on Verizon.  Here is what I discovered that you will need to do if you purchase this phone if you putting it on Verizon.  Be sure to register an account with Samsung Galaxy store right on the phone and update all of your apps and when you do, it will give you Samsung Essentials and visual voicemail that is just like Verizon's only with a Blue Icon instead of Red.  Works the same.  If you go into the settings, and turn on wireless calling, it might take a couple of tries, but it does come on, and it does work as I live in a completely shielded home where Verizon's signal does not penetrate my walls or roof and my phone works perfectly over wireless.  As far as getting connected to Verizon goes, all you have to do is take your SIM card from your old phone and put it in the new phone.  If you have to get a new SIM card from Verizon because of size difference, have Verizon register a new SIM to your old phone, then you put it into the new phone.  These phones are approved on Verizon's list of phones, but their system does not recognize the IMEI number and says it is not compatible and won't let the stores customer service reps scan the phone into their system.  You have to put your old SIM into the new phone and then it works perfectly.  I called 611 while I was in the store and they told me how to get around their system not recognizing the IMEI numbers as valid.The unlocked S9+ is the best phone I have ever had..... totally happy with my purchase.
            "
"46","I like the phone but this one died. The other 2 are working great.  The exchange is slow especially when you need your phone. Still haven't got the replacement.
            "
"47","I bought two of these for the kids. We went to a Sprint store to get them activated and switched over from the old phones. Both needed a sim card installed, only 5 bucks each so no big deal there. These S9's were upgrades from our S6 and Note5 which did not use sim cards.They have both been in use for a few weeks now and I have not heard any complaints.  They look nice and the battery seems to last all day if fully charged.Buying them on Amazon means no re-upping my Sprint contract, which is good because I prefer to minimize my commitments to any contract.
            "
"48","I've been wanting a Samsung S series phone since the S4. I finally bit the bullet and bought the factory unlocked S9 and I couldn't be happier with a phone! There are very minor, MINOR things about it that are hardly worth mentioning that bug me, such as not having an emoji search function (see? Not even worth mentioning), but OMG I'm in love with this thing.  I'm officially a convert.  It's worth every penny.  Make sure its FACTORY unlocked! Otherwise you won't be able to update the OS.Phone came beautifully packaged brand new with charger and headphones.
            "
"49","This is my first time buying an unlocked phone online and I feel like I got more than I bargained for. The Super AMOLED screen is hands down one of the best I have seen on a smartphone and I am enjoying it very much. Same goes for the speakers.In addition to that, I got to ""pixelize"" my phone, download tons of apps, files and I have to say I have not suffered from the infamous samsung lag, but if it does slow down at one point, samsung does have a function to test, diagnose and optimize your phone so I plan on taking advantage of that in the future.I'm also very satisfied with the battery. I'm a heavy user and so far it has been lasting me for a full day whereas my previous phone needed to be charged twice per day.As for the camera, I have yet to fully test what it's capable of, but I've taken a few low light pictures and have been quite impressed by how nice they looked.All in all this is a great phone and definitely a worthy purchase.
            "
"50","Phone Beeps and shuts down broken phone
            "
"51","I retrurned the device(galaxy s9+) that i got from this seller(relliant celular) because it was not new and it was not unlocked like the seller claims on the selling page (did not work with Verizon). I spent some more money and bought it eventualy at best buy and it works great and its also new so make your decisions... this called misleading the customer
            "
"52","When I called Samasung tech support about the S9+ muffled quality of the phone's microphone (complaints from people I've called), I discovered, from Samsung, there was only 5-months of warranty remaining. The phone is supposed to have a 1-year warranty.Calling Amazon, they now tell me that the warranty began when they took possession of the phone, not when I take possession of the phone. Now, Samsung includes all the warranty information in the packaging, however Amazon doesn't deem it necessary to provide clear-and-full disclosure of this important bit of information. This lack of full disclosure could be extremely expensive. To be clear, you're getting a perfectly new phone from Amazon but...without the full warranty.I am, of course returning the phone. Sad, that I have been very pleased with Amazon for a long time only to discover this lack of clear disclosure in the packaging. I am well aware the phone has a 1-year warranty, but you must dig through the fine print to find this is not true if purchased through Amazon. If your new phone is sitting on a shelf in their warehouse, then your warranty is slowly expiring.After discovering this, I had no interest in trouble shooting a problem with the S9+ micorphone which turns out to NOT be compatible with the new, higher-quality, high-security standard of VoLTE phone calling. With the S9+, you're paying for this feature on this next generation phone -- though Samsungs product, here, is flawed. Samsung's work around is to deactivate your 4G VoLTE feature. This means audio and Video calls are reverted back to the fuzzy dark ages.
            "
"53","Terrible es casi un robo de 800$ no dan soluciones inmediatas , entregan los paquetes al que este no a la persona a cual va como destinatario, que seguridad dan al comprar , me han robado 800 dolares por este celular que dicen dar una explicacion en 72 horas , sin asegurar que devuelvan el dinero , cuando nunca recibi el paquete NUNCA, tengan cuidado con estas compras por aqui.
            "
"54","Excellent smartphone for the busy professional as well as for those moments when you just need to relax and unwind. A super fast processor and an awesome camera that is above average. I especially like the speed with which the Intellegent Scanner and Fingerprint Scanner both work to unlock the screen. This comes in handy in situations where you need a quick peek at messages or other info on the notification panel. The best smartphone that Samsung has ever produced and definitely the best smartphone for 2018.
            "
"55","The phone is fast, with a solid build.  But the signal reception is horrible.  At my home the signal is always weak, but my Motorola G5 Plus had much better reception.  The range for cell service is -50 to -120.  Closer to -50 is better, but this S9 is -118 in a weak area, but still -113 in a good area!  If you don't need a 3.5mm headphone jack, then get the Z3 Play.  It's far better as a phone, and motorola really knows what they're doing with convenience.  I loved my G5+, but I loved my Samsung S3, S4 and S5 too.  But this S9 is pretty poor.
            "
"56","I WAS SKEPTICAL AND AFRAID TO BUY AFTER READING EVERY SINGLE REVIEW. I HOWEVER GAVE THEM THE BENEFIT OF THE DOUBT. IT WAS THE BIGGEST MISTAKE AND I REGRET EVERY DAMN SECOND. I HAD THIS PHONE FOR LITERALLY 8 HOURS! 8 DAMN HOURS. FOR THE FIRST FEW HOURS THE PHONE TURNED ON THE GRAPHICS ON THIS PHONE LOOKED AMAZING. I LEFT FOR A STORE RUN TO BUY A PHONE CASE AND SCREEN PROTECTOR. I WAS EXCITED. I PUT ON THE SCREEN PROTECTOR AND AS I WENT TO TURN IT ON....NOTHING... BLACK SCREEN. I DID EVERYTHING. I TRIED TO RESET IT, HARD RESET, PLUGGED IT IN TO ITS CHARGER NOTHING. BUNCH OF BULL. JUST DON'T BUY FROM THEM. DON'T EVEN BOTHER. I DON'T EVEN KNOW WHY THIS VENDOR IS EVEN STILL ALLOWED TO SELL PRODUCTS. THEY NEEDTO BE TAKEN DOWN. AMAZON NEEDS TO KNOW HOW THEY ARE EFFING THEIR CUSTOMERS OVER. JUST STAY AWAY.
            "
"57","I bought 2 phones and 1 works perfectly but the other is trash. Essential features dont work and its not worth the money.
            "
"58","I have just received it, and it¡¯s great that there¡¯s an option to transfer data onto it from other phones, including my iPhone SE. Other reviews claimed that there was no phone in the box, or accessories were missing. This made me a bit skeptical and worried, but I¡¯m glad I took the gamble. A beautiful phone, and the infinity screen makes it more beautiful. Fingerprint scanner is an a very efficient place and takes less than 3 seconds to set up. I will be back with another review in a month or so.
            "
"59","Lovin' this phone! Clobbered the front of its S9 predecessor, so I ordered this phone and simply switched SIM cards ... bingo, connected to the AT&T network without a hitch. These phones are so smart - it downloaded/uploaded all the prior info from the dead phone. Buy with confidence. Thanks, Amazon for offering ""unlocked"" phones!
            "
