Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,50600.000000,51700.000000,50500.000000,51100.000000,51100.000000,12700
2015-01-05,52100.000000,53100.000000,51000.000000,52300.000000,52300.000000,27733
2015-01-06,51700.000000,52300.000000,50700.000000,51300.000000,51300.000000,21174
2015-01-07,51400.000000,51700.000000,50200.000000,50600.000000,50600.000000,33140
2015-01-08,50800.000000,51300.000000,49950.000000,50800.000000,50800.000000,26252
2015-01-09,51000.000000,51000.000000,50100.000000,50800.000000,50800.000000,14783
2015-01-12,51400.000000,51400.000000,49950.000000,50200.000000,50200.000000,23071
2015-01-13,50000.000000,50400.000000,49400.000000,49450.000000,49450.000000,28655
2015-01-14,49100.000000,50800.000000,49100.000000,49950.000000,49950.000000,17987
2015-01-15,50300.000000,50500.000000,49400.000000,49500.000000,49500.000000,14772
2015-01-16,49000.000000,49500.000000,48500.000000,48550.000000,48550.000000,18501
2015-01-19,48550.000000,48850.000000,47550.000000,47850.000000,47850.000000,20814
2015-01-20,48200.000000,48300.000000,46200.000000,47500.000000,47500.000000,24474
2015-01-21,47650.000000,48350.000000,47000.000000,47400.000000,47400.000000,17718
2015-01-22,47650.000000,49400.000000,47350.000000,48450.000000,48450.000000,27235
2015-01-23,49150.000000,49400.000000,48000.000000,49050.000000,49050.000000,20079
2015-01-26,49050.000000,53200.000000,49050.000000,52600.000000,52600.000000,76104
2015-01-27,53600.000000,53800.000000,51500.000000,51800.000000,51800.000000,33328
2015-01-28,52000.000000,55400.000000,52000.000000,54400.000000,54400.000000,47405
2015-01-29,54400.000000,55300.000000,52400.000000,52500.000000,52500.000000,45055
2015-01-30,53400.000000,54000.000000,52400.000000,52500.000000,52500.000000,21181
2015-02-02,53200.000000,53200.000000,51700.000000,52500.000000,52500.000000,10857
2015-02-03,52600.000000,53000.000000,51100.000000,51600.000000,51600.000000,14608
2015-02-04,51700.000000,52900.000000,51500.000000,52000.000000,52000.000000,16099
2015-02-05,52200.000000,52700.000000,51200.000000,52700.000000,52700.000000,10082
2015-02-06,53600.000000,53600.000000,52000.000000,52000.000000,52000.000000,15523
2015-02-09,52000.000000,52800.000000,51000.000000,51000.000000,51000.000000,17347
2015-02-10,50800.000000,52300.000000,50100.000000,51100.000000,51100.000000,14393
2015-02-11,51900.000000,53300.000000,50800.000000,53300.000000,53300.000000,22231
2015-02-12,54000.000000,54000.000000,52400.000000,52700.000000,52700.000000,17818
2015-02-13,52700.000000,53500.000000,52400.000000,52700.000000,52700.000000,17316
2015-02-16,52700.000000,53900.000000,52300.000000,53800.000000,53800.000000,15976
2015-02-17,53800.000000,54100.000000,52900.000000,53000.000000,53000.000000,13259
2015-02-23,53600.000000,53700.000000,52500.000000,53000.000000,53000.000000,11419
2015-02-24,52900.000000,53800.000000,52600.000000,53800.000000,53800.000000,19157
2015-02-25,53400.000000,54400.000000,53400.000000,53900.000000,53900.000000,18035
2015-02-26,53700.000000,55900.000000,53700.000000,55600.000000,55600.000000,36409
2015-02-27,55900.000000,56400.000000,55000.000000,56200.000000,56200.000000,16186
2015-03-02,56200.000000,56300.000000,55200.000000,55400.000000,55400.000000,15744
2015-03-03,55100.000000,55700.000000,54200.000000,55500.000000,55500.000000,15622
2015-03-04,54900.000000,55600.000000,54900.000000,55300.000000,55300.000000,10457
2015-03-05,54900.000000,55400.000000,54600.000000,54600.000000,54600.000000,11027
2015-03-06,54500.000000,55100.000000,54200.000000,54900.000000,54900.000000,12632
2015-03-09,54800.000000,55300.000000,53700.000000,54200.000000,54200.000000,10863
2015-03-10,54200.000000,54900.000000,52500.000000,53200.000000,53200.000000,19021
2015-03-11,52400.000000,52600.000000,51300.000000,51300.000000,51300.000000,16650
2015-03-12,51300.000000,52200.000000,51000.000000,52200.000000,52200.000000,7508
2015-03-13,52700.000000,52700.000000,51800.000000,52200.000000,52200.000000,6860
2015-03-16,52700.000000,52700.000000,51000.000000,51300.000000,51300.000000,12894
2015-03-17,51500.000000,52200.000000,51300.000000,51600.000000,51600.000000,8906
2015-03-18,52100.000000,52100.000000,51300.000000,51400.000000,51400.000000,12364
2015-03-19,51500.000000,52500.000000,51400.000000,52100.000000,52100.000000,13073
2015-03-20,52000.000000,52700.000000,51700.000000,52000.000000,52000.000000,9446
2015-03-23,52600.000000,52600.000000,51800.000000,52200.000000,52200.000000,12832
2015-03-24,52000.000000,52800.000000,52000.000000,52400.000000,52400.000000,9886
2015-03-25,52200.000000,55800.000000,52000.000000,55100.000000,55100.000000,39565
2015-03-26,54500.000000,55100.000000,53400.000000,53400.000000,53400.000000,20142
2015-03-27,54000.000000,54400.000000,52900.000000,53900.000000,53900.000000,11907
2015-03-30,54300.000000,55600.000000,54000.000000,55500.000000,55500.000000,20832
2015-03-31,56000.000000,56500.000000,54600.000000,55300.000000,55300.000000,18663
2015-04-01,55000.000000,57700.000000,54700.000000,57500.000000,57500.000000,32610
2015-04-02,56200.000000,58600.000000,56200.000000,57500.000000,57500.000000,25822
2015-04-03,57500.000000,58500.000000,57300.000000,58200.000000,58200.000000,13307
2015-04-06,59600.000000,59600.000000,57400.000000,58100.000000,58100.000000,24004
2015-04-07,58600.000000,59000.000000,57300.000000,57300.000000,57300.000000,20650
2015-04-08,57500.000000,58200.000000,57100.000000,58000.000000,58000.000000,15021
2015-04-09,58300.000000,58500.000000,57100.000000,57800.000000,57800.000000,18994
2015-04-10,58100.000000,58500.000000,57400.000000,57900.000000,57900.000000,15671
2015-04-13,58100.000000,58800.000000,57900.000000,58300.000000,58300.000000,23815
2015-04-14,58300.000000,61400.000000,58300.000000,59900.000000,59900.000000,43868
2015-04-15,60500.000000,68500.000000,59600.000000,62900.000000,62900.000000,115694
2015-04-16,62900.000000,63500.000000,61400.000000,61900.000000,61900.000000,50394
2015-04-17,62400.000000,62400.000000,60100.000000,61500.000000,61500.000000,24499
